6768,6773,6775
6530,6509,6480
6530,6549,6509
5152,5108,5064
6762,6760,6771
6773,6762,6771
6768,6762,6773
11,35,13
457,520,516
182,228,208
5878,5814,5804
5741,5728,5804
5814,5741,5804
6767,6768,6775
6768,6767,6758
6774,6767,6775
6767,6774,6765
6765,6772,6764
6772,6770,6764
6774,6772,6765
6753,6768,6758
6753,6762,6768
6742,6753,6758
6756,6763,6749
6763,6757,6749
58,93,69
34,62,43
36,20,13
35,36,13
26,11,9
26,35,11
1,15,3
2787,2834,2880
396,427,456
1796,1754,1841
1670,1712,1625
582,580,516
520,582,516
453,457,415
198,182,150
198,228,182
88,125,102
6128,6089,6065
5920,5848,5889
5952,5956,5889
5956,5920,5889
5880,5952,5889
5880,5950,5952
5880,5814,5878
5950,5880,5878
5609,5570,5649
5569,5609,5611
5570,5528,5488
5609,5528,5570
5528,5609,5569
6770,6759,6764
6766,6759,6770
6762,6745,6760
6753,6745,6762
6754,6765,6764
6757,6738,6749
3382,3429,3477
3332,3382,3287
3382,3332,3429
3238,3332,3287
3337,3290,3384
3431,3478,3384
3572,3523,3477
3523,3572,3621
3572,3667,3621
3667,3572,3624
6763,6769,6757
6760,6769,6771
6757,6769,6760
784,858,818
784,715,749
54,34,27
54,62,34
75,58,43
62,75,43
75,93,58
60,36,35
36,60,71
7,30,9
30,26,9
21,1,0
21,15,1
883,811,849
811,883,847
640,674,601
640,710,674
640,608,676
710,640,676
674,634,601
634,674,707
4347,4394,4441
4226,4169,4269
1710,1758,1797
861,789,826
971,934,1010
1072,1031,992
1034,1072,992
1297,1407,1338
1407,1438,1338
1438,1403,1338
1403,1315,1338
1487,1403,1438
1885,1796,1841
1885,1840,1796
1840,1885,1929
1407,1458,1438
1927,1972,2017
1927,1879,1836
1487,1566,1533
1566,1617,1533
2058,1969,2015
1970,1880,1925
1880,1838,1793
2058,2014,1969
1040,1118,1078
19,45,38
190,167,219
202,167,157
167,202,219
278,226,255
44,67,37
95,67,104
95,112,78
67,80,104
80,44,56
44,80,67
1583,1670,1625
1670,1583,1626
1290,1209,1249
1497,1456,1414
1456,1372,1414
754,824,825
580,635,643
582,635,580
365,411,415
411,453,415
124,171,150
171,198,150
135,109,93
109,125,88
109,88,69
93,109,69
1594,1545,1640
1092,1014,1053
1130,1092,1053
1784,1694,1737
1761,1677,1719
1805,1761,1719
2116,2024,2072
2343,2435,2390
2213,2121,2167
3347,3417,3323
3343,3347,3264
4715,4698,4767
4698,4758,4767
4758,4848,4767
4662,4758,4698
4547,4540,4626
4091,4168,4084
4397,4395,4487
6242,6188,6185
6145,6164,6206
5950,6017,5952
6130,6128,6185
6130,6089,6128
6188,6130,6185
6089,6130,6072
6130,6188,6164
5959,5885,5920
5848,5885,5813
5885,5848,5920
5992,5959,5920
5956,5992,5920
5992,6036,5959
6036,5992,6072
5609,5673,5611
5741,5673,5728
5728,5673,5649
5673,5609,5649
5446,5405,5488
5528,5446,5488
5361,5320,5277
5722,5760,5682
6759,6752,6743
6752,6766,6761
6752,6759,6766
6751,6742,6758
6754,6751,6765
6767,6751,6758
6751,6767,6765
6759,6750,6764
6750,6754,6764
6750,6759,6743
6731,6750,6743
6741,6756,6749
6741,6746,6756
6748,6738,6757
6748,6757,6760
