2277,2215,2220
2284,2277,2220
277,263,234
4438,4454,4424
4601,4609,4607
4609,4602,4610
4601,4602,4609
660,680,618
2215,2144,2220
218,175,196
175,218,198
218,242,198
242,218,265
241,218,196
218,241,265
133,99,114
99,133,118
82,99,118
99,82,67
277,236,285
192,236,234
236,277,234
4368,4354,4341
4278,4295,4261
3943,3909,3875
4597,4603,4606
4595,4602,4591
2494,2503,2437
110,75,96
75,110,92
1155,1083,1113
558,617,618
617,660,618
680,721,744
660,721,680
2006,2039,2076
2144,2066,2076
2066,2006,2076
2006,2066,2005
1983,1928,2005
1468,1392,1427
2690,2654,2720
2253,2317,2299
2376,2317,2391
2317,2376,2299
2738,2742,2676
2964,2997,3028
2501,2423,2469
3690,3745,3695
314,291,265
242,291,266
291,242,265
82,53,67
99,77,114
77,99,67
46,77,67
77,46,60
45,57,76
1116,1078,1151
75,63,96
58,75,92
132,110,96
4295,4281,4261
4281,4295,4314
4312,4327,4296
4354,4328,4341
4295,4328,4314
4339,4327,4314
4328,4339,4314
4339,4328,4354
4339,4354,4368
4398,4411,4424
4411,4402,4424
3380,3418,3451
3660,3627,3698
4206,4184,4165
4304,4316,4286
4441,4471,4454
4414,4438,4424
4402,4414,4424
4531,4508,4521
4608,4600,4606
4600,4597,4606
4597,4600,4589
4600,4595,4589
4592,4596,4603
4597,4592,4603
1832,1869,1791
1454,1416,1379
1200,1166,1133
1200,1235,1166
1235,1200,1268
1946,1986,2023
2102,2061,2023
2061,2102,2139
2902,2967,2934
3027,2967,3030
2937,2967,2902
2284,2350,2277
1422,1498,1462
1841,1765,1803
1841,1804,1765
1804,1728,1765
665,633,601
665,696,728
428,484,456
633,572,601
572,541,601
1346,1384,1421
1385,1346,1421
787,755,722
755,787,819
92,130,109
110,130,92
236,258,285
1120,1157,1085
1120,1083,1155
1184,1155,1113
1157,1191,1228
1191,1265,1228
1120,1191,1157
1191,1120,1155
1390,1351,1426
1351,1389,1426
1313,1236,1276
1236,1313,1273
557,558,500
557,617,558
784,810,744
721,784,744
356,358,307
2195,2284,2220
2144,2195,2220
2138,2144,2215
2138,2066,2144
1928,1944,2005
2006,1944,1910
1944,2006,2005
1778,1852,1828
1852,1778,1793
1905,1928,1983
1852,1905,1828
1905,1852,1928
1316,1392,1354
2778,2745,2713
2718,2652,2690
2788,2756,2720
2718,2756,2784
2756,2690,2720
2756,2718,2690
2758,2788,2720
2622,2656,2588
2652,2619,2690
2619,2654,2690
2619,2587,2654
2587,2619,2549
2619,2586,2549
2619,2652,2586
2674,2738,2676
3262,3228,3299
3187,3223,3153
2969,3059,3003
3059,2969,3029
2875,2908,2845
2471,2548,2510
2718,2689,2652
2497,2539,2571
2575,2539,2501
2532,2567,2492
2532,2497,2571
2708,2683,2649
2708,2745,2775
2748,2708,2775
2708,2748,2683
2459,2423,2501
2539,2459,2501
2459,2539,2497
2423,2459,2379
2651,2689,2713
4219,4242,4259
4183,4191,4223
4221,4183,4223
2874,2902,2838
2874,2839,2905
2937,2874,2905
2874,2937,2902
2715,2686,2751
3337,3262,3299
3482,3410,3417
3472,3434,3401
3657,3618,3688
3802,3726,3764
3726,3689,3764
3807,3799,3868
3799,3839,3868
3839,3909,3868
3909,3839,3875
3839,3802,3875
1785,1746,1823
1145,1192,1211
1078,1118,1151
156,136,118
156,175,198
133,156,118
156,133,175
64,80,98
48,64,36
64,48,80
80,116,98
116,135,98
116,136,155
135,116,155
53,40,67
40,46,67
40,28,16
28,40,53
14,28,38
28,53,38
66,53,82
53,66,38
66,48,38
48,66,80
3,5,16
28,3,16
3,28,14
3,14,1
77,94,114
94,77,60
5,22,16
22,40,16
40,22,46
314,290,338
290,314,265
241,290,265
264,290,241
153,133,114
133,153,175
175,153,196
153,172,196
172,217,196
217,241,196
217,264,241
31,52,25
52,31,55
31,39,55
146,127,108
126,146,108
126,163,144
79,93,112
93,127,112
127,93,108
93,126,108
57,90,76
69,90,57
374,323,348
323,298,348
298,323,271
323,293,271
222,250,271
250,298,271
611,619,559
619,611,657
776,806,741
842,776,824
776,842,806
1007,974,936
710,712,657
670,702,641
833,866,900
359,384,332
129,91,109
129,111,91
73,58,92
73,92,109
91,73,109
44,63,75
58,44,75
63,44,34
30,51,61
30,24,51
219,242,266
242,219,198
136,176,155
176,199,155
176,156,198
156,176,136
219,176,198
176,219,199
15,2,0
84,101,121
101,84,65
21,15,36
15,21,2
4309,4295,4278
4309,4328,4295
4328,4309,4341
4324,4308,4294
4308,4283,4294
4252,4283,4278
4283,4309,4278
4309,4283,4308
4300,4281,4314
4327,4300,4314
4300,4312,4285
4312,4300,4327
3906,3874,3838
3996,3965,3932
3965,3996,4030
4411,4387,4402
4387,4411,4398
3364,3292,3325
3252,3219,3188
3183,3099,3133
3418,3488,3451
3558,3630,3592
3558,3595,3630
3595,3665,3630
3665,3631,3702
3631,3665,3595
3414,3375,3446
3658,3729,3694
3731,3659,3694
3659,3697,3624
3697,3659,3731
3766,3731,3694
3729,3766,3694
3766,3729,3798
3872,3906,3838
3663,3733,3698
3663,3627,3592
